"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"245",8563,"519",150,87.0070005521049,1,38,0.00013209658966676033
"245",8563,"522",100,89.3435840293143,2,25,0.00012527755230405075
"245",8563,"525",122,94.6716567954189,2,28,0.00011157324002802676
"245",8563,"534",214,197.134332021853,1,24,0.00002573211411723425
"245",8563,"543",174,116.999012492908,1,33,0.00007305258825882947
"245",8563,"544",316,83.537492292335,1,83,0.0001432970110776568
"245",8563,"651",823,290.674815417072,1,62,0.000011835461288982665
"245",8563,"766",198,81.4345080255515,1,53,0.00015079364738258114
"245",8563,"771",119,165.264123609715,1,16,0.000036613633517666905
"245",8563,"810",878,187.956184502651,1,103,0.000028306538176616068
"245",8563,"842",871,328.564747342178,1,58,0.000009263136637050894
"245",8563,"971",198,32.0804515075779,324,136,0.0009716705855923364
"245",8563,"978",80,39.138646611394,3,45,0.0006528123953924462
"245",8563,"980",921,66.7260117917289,77,303,0.0002245999546510495
"245",8563,"981",125,44.2369959099719,15,62,0.0005110092321725741
"245",8563,"983",214,61.996454377461,23,76,0.0002601754382750654
"246",32210,"16",1018,90.4269498400719,2,461,0.0001222937425496463
"246",32210,"22",194,40.6861350131357,2,195,0.0006040976247626616
"246",32210,"34",131,72.4721128853913,1,74,0.0001903961462648984
"246",32210,"151",340,11.5609433974644,699,1204,0.007481926719074489
"246",32210,"153",50,13.3869034277138,79,153,0.005580071183340268
"246",32210,"160",156,41.9594775247136,2,152,0.0005679889103799061
"246",32210,"191",206,14.8132294789469,151,569,0.004557225286668084
"246",32210,"196",175,27.9830897825301,1,256,0.0012770522548065687
"246",32210,"201",226,24.6217273945568,15,376,0.0016495404234730593
"246",32210,"204",204,40.2332566368236,7,208,0.0006177739980823012
"246",32210,"209",320,13.5804206752439,310,965,0.0054221752932334675
"246",32210,"213",1013,9.3382406046824,2032,4442,0.011467529891888265
"246",32210,"216",1709,12.8836900645789,982,5431,0.006024478552233055
"246",32210,"218",56,10.5350772288203,80,218,0.009009995058053494
"246",32210,"219",35,18.3155203543189,2,78,0.002980996571471811
"246",32210,"255",265,17.8128907175565,18,609,0.003151600734207794
"246",32210,"270",738,81.7172206334378,1,370,0.00014975206715154893
"246",32210,"301",231,91.3629273113759,7,104,0.00011980087436269707
"246",32210,"302",320,91.0018789080137,2,144,0.00012075337599264406
"246",32210,"303",942,93.1566899212524,2,414,0.00011523168241614426
"246",32210,"326",654,109.552410106991,1,244,0.00008332131728653932
"246",32210,"335",219,112.038063936394,1,80,0.00007966522904965301
"246",32210,"347",524,121.02450622173,1,177,0.0000682736876924426
