"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"350100","Fuzhou",26.080429420698078,119.30346983854001,"35","West Coast of Taiwan Strait","WCOTS"
"350200","Xiamen",24.485406605176305,118.09643549976651,"35","West Coast of Taiwan Strait","WCOTS"
"350300","Putian",25.45986545592271,119.0145209781265,"35","West Coast of Taiwan Strait","WCOTS"
"350400","Sanming",26.269736515991838,117.64552116782143,"35","West Coast of Taiwan Strait","WCOTS"
"350500","Quanzhou",24.879952330498313,118.68244626680422,"35","West Coast of Taiwan Strait","WCOTS"
"350600","Zhangzhou",24.51892979117087,117.65357645298785,"35","West Coast of Taiwan Strait","WCOTS"
"350700","Nanping",27.389104987898513,118.08735102597767,"35","West Coast of Taiwan Strait","WCOTS"
"350800","Longyan",25.081219844871676,117.02344756677536,"35","West Coast of Taiwan Strait","WCOTS"
"350900","Ningde",26.672241711408567,119.55451074542829,"35","West Coast of Taiwan Strait","WCOTS"
"360100","Nanchang",28.68945529506072,115.86458944231661,"36","Middle Reaches of the Yangtze River","MRYR"
"360200","Jingdezhen",29.274247711040953,117.18457644638579,"36","Middle Reaches of the Yangtze River","MRYR"
"360300","Pingxiang",27.664752547951164,113.89369655407103,"36","Middle Reaches of the Yangtze River","MRYR"
"360400","Jiujiang",29.666660847999456,115.96066124030492,"36","Middle Reaches of the Yangtze River","MRYR"
"360500","Xinyu",27.823578697788587,114.9235346513963,"36","Middle Reaches of the Yangtze River","MRYR"
"360600","Yingtan",28.265787063191418,117.0755754270272,"36","Middle Reaches of the Yangtze River","MRYR"
"360700","Ganzhou",25.835176103497655,114.9405033729825,"36","NA","NA"
"360800","Ji'an",27.119726826070448,115.00051072001253,"36","Middle Reaches of the Yangtze River","MRYR"
"360900","Yichun",27.820856421848216,114.4235636759064,"36","Middle Reaches of the Yangtze River","MRYR"
"361000","Fuzhou",27.954892253419565,116.36453876864373,"36","Middle Reaches of the Yangtze River","MRYR"
"361100","Shangrao",28.460625921851733,117.94945960312224,"36","Middle Reaches of the Yangtze River","MRYR"
"370100","Jinan",36.65655420178723,117.12639941261048,"37","Shandong Peninsula","SP"
"370200","Qingdao",36.072227496663224,120.38945519114627,"37","Shandong Peninsula","SP"
"370300","Zibo",36.81908568332188,118.06145253489896,"37","Shandong Peninsula","SP"
"370400","Zaozhuang",34.815994048435115,117.33054194483897,"37","NA","NA"
"370500","Dongying",37.43964182632334,118.68138493513693,"37","Shandong Peninsula","SP"
"370600","Yantai",37.470038383730525,121.45441541730195,"37","Shandong Peninsula","SP"
"370700","Weifang",36.71265155126753,119.16837791142822,"37","Shandong Peninsula","SP"
"370800","Jining",35.420177394529645,116.59361234853988,"37","NA","NA"
"370900","Tai'an",36.2058580448846,117.0944948347959,"37","NA","NA"
"371000","Weihai",37.5164305480148,122.12754097831325,"37","Shandong Peninsula","SP"
"371100","Rizhao",35.42283899843767,119.53341540456555,"37","Shandong Peninsula","SP"
"371300","Linyi",35.11067124236514,118.36353300501388,"37","NA","NA"
"371400","Dezhou",37.441308454576266,116.36555674397471,"37","NA","NA"
"371500","Liaocheng",36.46275818769411,115.99158784830443,"37","Central Plains","CP"
"371600","Binzhou",37.3881961960769,117.9774040171467,"37","NA","NA"
"371700","Heze",35.23940742476551,115.48754503343376,"37","Central Plains","CP"
"410100","Zhengzhou",34.75343885045448,113.63141920733915,"41","Central Plains","CP"
"410200","Kaifeng",34.80401391129182,114.32076511162192,"41","Central Plains","CP"
"410300","Luoyang",34.62426277921943,112.4594212983115,"41","Central Plains","CP"
"410400","Pingdingshan",33.772050748691015,113.19952856052156,"41","Central Plains","CP"
"410500","Anyang",36.10594098401491,114.39950042177432,"41","Central Plains","CP"
"410600","Hebi",35.7523574114,114.30359364247649,"41","Central Plains","CP"
"410700","Xinxiang",35.3096399303368,113.93360046733228,"41","Central Plains","CP"
"410800","Jiaozuo",35.22096325403899,113.24854783457334,"41","Central Plains","CP"
"410900","Puyang",35.76759302890629,115.03559747034215,"41","Central Plains","CP"
"411000","Xuchang",34.04143161161871,113.85847553685502,"41","Central Plains","CP"
